AT4G13530_Syn	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G13530_Rep	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G71750_Syn	26	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G71750_Rep	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G20840_Syn	45	3	1	0	3	0	0	1	0	0	0	0	0	0	0	2	0	0	0
AT3G20840_Rep	10	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AT3G06410_Syn	35	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G06410_Rep	22	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AT5G64680_Syn	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G64680_Rep	37	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G14810_Syn	76	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G14810_Rep	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G07000_Syn	62	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AT1G07000_Rep	27	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G17616_Syn	68	9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AT4G17616_Rep	53	13	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	9
AT5G17630_Syn	34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AT5G17630_Rep	9	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AT2G35710_Syn	39	0	1	1	0	0	13	0	0	0	0	0	0	6	0	0	0	0	0
AT2G35710_Rep	15	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AT1G08065_Syn	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
