AT1G01010	-2344.549778	0.4267	272.4	1005.6	0.39	0.1067	0.2735
AT1G01020	-1160.783196	0.172	198.6	536.4	0.4328	0.0423	0.0979
AT1G01030	-1636.022894	0.1267	263	799	0.1346	0.0163	0.121
AT1G01040	-8645.664954	0.1328	1325.6	4371.4	0.1284	0.0172	0.1337
AT1G01050	-932.753305	0.1253	132.7	503.3	0.001	0.0002	0.1995
AT1G01060	-3019.393627	0.1892	503.7	1407.3	0.3806	0.0441	0.116
AT1G01070	-1644.255646	0.1217	286	797	0.1912	0.0192	0.1002
AT1G01080	-1396.636889	0.1703	228	648	0.3648	0.0391	0.107
AT1G01090	-1992.603109	0.1905	304.1	976.9	0.0435	0.0102	0.2347
AT1G01110	-2530.034496	0.1786	440.8	1140.2	0.2656	0.0336	0.1266
AT1G01120	-2381.307438	0.1165	425.9	1158.1	0.0258	0.0035	0.1349
AT1G01140	-2022.925623	0.1127	332.6	1020.4	0.0436	0.0059	0.1348
AT1G01150	-1564.957958	0.4529	187.9	658.1	0.6088	0.1321	0.217
AT1G01160	-1034.830719	0.4254	166.4	403.6	0.5316	0.1128	0.2122
AT1G01170	-387.914452	0.2309	67.8	181.2	0.0214	0.0057	0.2674
AT1G01180	-1493.817978	0.1979	255.9	665.1	0.2194	0.0332	0.1512
AT1G01190	-2589.887935	0.1888	428.1	1173.9	0.1833	0.0287	0.1567
AT1G01200	-1107.7292	0.1793	196.1	514.9	0.1198	0.0197	0.1649
AT1G01210	-496.900238	0.159	74.8	243.2	0.1293	0.0205	0.1587
AT1G01220	-4910.883894	0.1552	802.2	2362.8	0.0946	0.0151	0.1596
AT1G01225	-1155.698432	0.1208	168.2	593.8	0.1165	0.0151	0.1293
AT1G01230	-674.443536	0.0574	113.1	357.9	0.0391	0.0028	0.0709
AT1G01240	-1585.457471	0.1916	235.9	757.1	0.3023	0.0412	0.1365
AT1G01250	-866.837782	0.128	154.9	403.1	0.2886	0.0253	0.0878
AT1G01260	-2786.780813	0.1927	368.4	1392.6	0.0843	0.0196	0.2329
AT1G01280	-2352.611938	0.1891	416	1051	0.1704	0.0265	0.1554
AT1G01290	-1337.287405	0.2477	174.2	632.8	0.1985	0.0441	0.2222
AT1G01300	-2257.072626	0.1646	376.3	1072.7	0.0636	0.0114	0.1789
AT1G01305	-722.656355	0.302	106.7	316.3	0.4399	0.0762	0.1732
AT1G01310	-1151.488066	0.1451	186.2	536.8	0.4342	0.0362	0.0834
AT1G01320	-8199.250886	0.1296	1360.3	3997.7	0.2014	0.0215	0.1069
AT1G01340	-3301.569569	0.1464	550.1	1567.9	0.14	0.0188	0.1343
